Event,Img_Name,Done_Time,Queue,Cumuli,CC_Cat_Bool,CC_Time,CR_Class,CR_Val,CR_Time,BBS_Time,HAAR_Time,FF_BBS_Bool,FF_BBS_Val,FF_BBS_Time,Face_Bool,PC_Class,PC_Val,PC_Time,Total_Time
11,2020_05_30_20-05-01.801716,2020_05_30_20-05-17.419667,21,0,True,0.5537307262420654,,,,7.055701017379761,0.6475656032562256,False,0.98131907,7.018869400024414,False,,,,15.275866746902466
11,2020_05_30_20-05-02.241560,2020_05_30_20-05-19.491279,23,0,True,0.5393502712249756,,,,0.3799858093261719,0.38726186752319336,False,0.98721504,0.4255101680755615,False,,,,1.7321081161499023
11,2020_05_30_20-05-03.242358,2020_05_30_20-05-21.682183,25,0,True,0.5024065971374512,,,,0.47359132766723633,0.38252758979797363,False,0.97630423,0.4545869827270508,False,,,,1.813112497329712
11,2020_05_30_20-05-03.670444,2020_05_30_20-05-24.010747,26,0,True,0.6199839115142822,,,,0.5125732421875,0.45777177810668945,False,0.98393875,0.36867427825927734,False,,,,1.959003210067749
11,2020_05_30_20-05-04.512174,2020_05_30_20-05-26.553704,28,0,True,0.656318187713623,,,,0.44679951667785645,0.47252893447875977,False,0.99255085,0.5969879627227783,False,,,,2.1726346015930176
11,2020_05_30_20-05-04.922888,2020_05_30_20-05-29.001224,31,0,True,0.6531507968902588,,,,0.5116229057312012,0.47469258308410645,False,0.97050744,0.41179466247558594,False,,,,2.0512609481811523
11,2020_05_30_20-05-05.868637,2020_05_30_20-05-31.554215,32,0,True,0.4815847873687744,,,,0.40791773796081543,0.9120745658874512,False,0.984324,0.38672971725463867,False,,,,2.1883068084716797
11,2020_05_30_20-05-06.287300,2020_05_30_20-05-33.966529,35,0,True,0.5585412979125977,,,,0.47148847579956055,0.44732213020324707,False,0.9820563,0.5472230911254883,False,,,,2.0245749950408936
11,2020_05_30_20-05-07.188296,2020_05_30_20-05-36.476763,37,0,True,0.7368443012237549,,,,0.47893619537353516,0.3834259510040283,False,0.97327954,0.4999985694885254,False,,,,2.0992050170898438
11,2020_05_30_20-05-07.621529,2020_05_30_20-05-38.920313,38,0,True,0.6353328227996826,,,,0.49590349197387695,0.48168134689331055,False,0.97157997,0.42227959632873535,False,,,,2.0351972579956055
11,2020_05_30_20-05-08.545452,2020_05_30_20-05-41.530728,41,0,True,0.681999683380127,,,,0.4793834686279297,0.5307557582855225,False,0.919521,0.47286319732666016,False,,,,2.1650021076202393
18,2020_05_31_00-30-56.422526,2020_05_31_00-30-58.436996,3,0,True,0.5214951038360596,,,,0.3775486946105957,0.44583654403686523,False,0.7647466,0.4360077381134033,False,,,,1.7808880805969238
18,2020_05_31_00-30-56.959082,2020_05_31_00-31-00.647347,5,0,True,0.5932340621948242,,,,0.4558572769165039,0.33661556243896484,False,0.7316978,0.4124717712402344,False,,,,1.7981786727905273
18,2020_05_31_00-30-57.454268,2020_05_31_00-31-02.983808,7,0,True,0.5936768054962158,,,,0.47515869140625,0.3402085304260254,False,0.9277518,0.502249002456665,False,,,,1.9112930297851562
18,2020_05_31_00-30-58.590630,2020_05_31_00-31-05.341249,9,0,True,0.5813002586364746,,,,0.5208847522735596,0.3639554977416992,False,0.9750532,0.47198915481567383,False,,,,1.9381296634674072
18,2020_05_31_00-30-59.124388,2020_05_31_00-31-07.908300,11,0,True,0.5647337436676025,,,,0.5070896148681641,0.6891999244689941,False,0.98021424,0.3986992835998535,False,,,,2.1597225666046143
18,2020_05_31_00-31-00.318535,2020_05_31_00-31-10.399212,14,0,True,0.6628155708312988,,,,0.4078195095062256,0.48197174072265625,False,0.90787834,0.4989128112792969,False,,,,2.0515196323394775
